Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,ff [MPa],Vf [%],df [mm],Lf [mm],fst [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
172.0,521.0,652.0,1080.0,30,5.21,Hooked,1.0,1100.0,1.0,0.75,30.0,4.52,0.330134357005758,0.376443418013857,3.32437619961612,40.0,40.0,40.0,40.0,40.0
172.0,521.0,652.0,1080.0,30,5.21,Hooked,1.0,1100.0,1.0,0.75,40.0,4.64,0.330134357005758,0.376443418013857,3.32437619961612,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
172.0,521.0,652.0,1080.0,30,5.21,Hooked,1.0,1100.0,1.0,0.75,50.0,4.83,0.330134357005758,0.376443418013857,3.32437619961612,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
172.0,521.0,652.0,1080.0,30,5.21,Hooked,1.0,1100.0,1.0,0.75,60.0,5.12,0.330134357005758,0.376443418013857,3.32437619961612,80.0,80.0,80.0,80.0,80.0
172.0,521.0,652.0,1080.0,40,5.21,Hooked,1.0,1100.0,1.0,0.75,50.0,4.74,0.330134357005758,0.376443418013857,3.32437619961612,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
172.0,521.0,652.0,1080.0,40,5.21,Hooked,1.0,1100.0,1.0,0.75,60.0,4.6,0.330134357005758,0.376443418013857,3.32437619961612,80.0,80.0,80.0,80.0,80.0
166.0,286.0,739.0,1259.0,20,0.0,Hooked,1.0,600.0,0.0,0.75,30.0,3.37,0.58041958041958,0.36986986986987,6.98601398601399,0.0,0.0,40.0,40.0,0.0
166.0,286.0,739.0,1236.0,20,0.0,Hooked,1.0,600.0,0.5,0.75,30.0,4.08,0.58041958041958,0.374177215189873,6.90559440559441,40.0,40.0,40.0,40.0,20.0
166.0,286.0,739.0,1214.0,20,0.0,Hooked,1.0,600.0,1.0,0.75,30.0,4.18,0.58041958041958,0.378392217101895,6.82867132867133,40.0,40.0,40.0,40.0,40.0
166.0,286.0,739.0,1192.0,20,0.0,Hooked,1.0,600.0,1.5,0.75,30.0,5.0,0.58041958041958,0.38270326255826,6.75174825174825,40.0,40.0,40.0,40.0,60.0
166.0,286.0,739.0,1170.0,20,0.572,Hooked,1.0,600.0,2.0,0.75,30.0,5.82,0.58041958041958,0.387113672079623,6.67482517482518,40.0,40.0,40.0,40.0,80.0
166.0,286.0,739.0,1236.0,20,0.0,Hooked,1.0,600.0,0.5,0.75,35.0,3.97,0.58041958041958,0.374177215189873,6.90559440559441,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,23.3333333333333
166.0,286.0,739.0,1214.0,20,0.0,Hooked,1.0,600.0,1.0,0.75,35.0,4.69,0.58041958041958,0.378392217101895,6.82867132867133,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667
166.0,286.0,739.0,1192.0,20,0.0,Hooked,1.0,600.0,1.5,0.75,35.0,5.39,0.58041958041958,0.38270326255826,6.75174825174825,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,70.0
166.0,286.0,739.0,1170.0,20,0.572,Hooked,1.0,600.0,2.0,0.75,35.0,5.93,0.58041958041958,0.387113672079623,6.67482517482518,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,93.3333333333333
166.0,286.0,739.0,1236.0,20,0.0,Hooked,1.0,600.0,0.5,0.75,40.0,3.94,0.58041958041958,0.374177215189873,6.90559440559441,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,26.6666666666667
166.0,286.0,739.0,1214.0,20,0.0,Hooked,1.0,600.0,1.0,0.75,40.0,4.66,0.58041958041958,0.378392217101895,6.82867132867133,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333
166.0,286.0,739.0,1192.0,20,0.0,Hooked,1.0,600.0,1.5,0.75,40.0,5.43,0.58041958041958,0.38270326255826,6.75174825174825,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,80.0
166.0,286.0,739.0,1170.0,20,0.572,Hooked,1.0,600.0,2.0,0.75,40.0,6.65,0.58041958041958,0.387113672079623,6.67482517482518,53.3333333333333,53.3333333333333,53.3333333333333,53.3333333333333,106.666666666667
