Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,Vf [%],df [mm],Lf [mm],fcy [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
204.0,425.0,713.0,1069.0,20.0,0.0,Mill-cut,0.5,0.5,0.9436,32.31,29.4095238095238,0.48,0.400112233445567,4.19294117647059,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,17.1206019499788
212.0,442.0,773.0,945.0,20.0,0.0,Mill-cut,0.5,1.0,0.9436,32.31,28.2514285714286,0.479638009049774,0.449941792782305,3.8868778280543,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,34.2412038999576
212.0,442.0,773.0,945.0,20.0,0.0,Mill-cut,0.5,1.0,0.9436,32.31,32.9295238095238,0.479638009049774,0.449941792782305,3.8868778280543,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,34.2412038999576
212.0,442.0,773.0,945.0,20.0,0.0,Mill-cut,0.5,1.0,0.9436,32.31,32.1752380952381,0.479638009049774,0.449941792782305,3.8868778280543,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,34.2412038999576
220.0,458.0,827.0,827.0,20.0,0.0,Mill-cut,0.5,1.5,0.9436,32.31,33.1504761904762,0.480349344978166,0.5,3.61135371179039,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,51.3618058499364
220.0,458.0,827.0,827.0,20.0,0.0,Mill-cut,0.5,1.5,0.9436,32.31,33.9733333333333,0.480349344978166,0.5,3.61135371179039,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,51.3618058499364
220.0,458.0,827.0,827.0,20.0,0.0,Mill-cut,0.5,1.5,0.9436,32.31,31.1238095238095,0.480349344978166,0.5,3.61135371179039,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,51.3618058499364
228.0,475.0,875.0,715.0,20.0,0.0,Mill-cut,0.5,2.0,0.9436,32.31,31.0933333333333,0.48,0.550314465408805,3.34736842105263,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,68.4824077999152
228.0,475.0,875.0,715.0,20.0,0.0,Mill-cut,0.5,2.0,0.9436,32.31,30.3009523809524,0.48,0.550314465408805,3.34736842105263,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,68.4824077999152
228.0,475.0,875.0,715.0,20.0,0.0,Mill-cut,0.5,2.0,0.9436,32.31,34.1333333333333,0.48,0.550314465408805,3.34736842105263,34.2412038999576,17.1206019499788,34.2412038999576,17.1206019499788,68.4824077999152
166.0,415.0,838.55,1024.9,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,42.616,0.4,0.449998658402426,4.49024096385542,0.0,0.0,0.0,0.0,0.0
166.0,415.0,838.55,1024.9,20.0,0.0,Hooked,1.0,1.0,0.55,35.0,40.824,0.4,0.449998658402426,4.49024096385542,63.6363636363636,63.6363636363636,63.6363636363636,63.6363636363636,63.6363636363636
161.0,460.0,1150.0,1048.8,20.0,18.4,No fiber,0.0,0.0,0.0,0.0,30.0,0.35,0.523012552301255,4.78,0.0,0.0,0.0,0.0,0.0
